Offset(V)  Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
---------- -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0x83d38ad0 System                    4      0     89      526 ------      0 2020-04-13 18:36:59 UTC+0000                                 
0x844f8d28 smss.exe                248      4      2       29 ------      0 2020-04-13 18:36:59 UTC+0000                                 
0x84bc64d0 csrss.exe               340    332      8      562      0      0 2020-04-13 18:37:04 UTC+0000                                 
0x84bfa030 csrss.exe               380    372     10      219      1      0 2020-04-13 18:37:05 UTC+0000                                 
0x84bfe318 wininit.exe             412    332      3       77      0      0 2020-04-13 18:37:05 UTC+0000                                 
0x84f0bd28 winlogon.exe            424    372      4      109      1      0 2020-04-13 18:37:05 UTC+0000                                 
0x84f37030 services.exe            484    412      9      232      0      0 2020-04-13 18:37:06 UTC+0000                                 
0x84f3ba30 lsass.exe               492    412      7      620      0      0 2020-04-13 18:37:06 UTC+0000                                 
0x84f3da70 lsm.exe                 500    412     10      198      0      0 2020-04-13 18:37:06 UTC+0000                                 
0x84f6bbb8 svchost.exe             592    484     11      363      0      0 2020-04-13 18:37:09 UTC+0000                                 
0x84f76d28 svchost.exe             664    484      7      284      0      0 2020-04-13 18:37:09 UTC+0000                                 
0x84fa6030 svchost.exe             764    484     21      438      0      0 2020-04-13 18:37:10 UTC+0000                                 
0x84fb19b0 svchost.exe             820    484     19      384      0      0 2020-04-13 18:37:11 UTC+0000                                 
0x84fb6d28 svchost.exe             844    484     17      594      0      0 2020-04-13 18:37:11 UTC+0000                                 
0x84fba790 svchost.exe             868    484     41     1014      0      0 2020-04-13 18:37:11 UTC+0000                                 
0x83fa6bf8 svchost.exe             952    484      6      120      0      0 2020-04-13 18:37:12 UTC+0000                                 
0x85015d28 svchost.exe            1096    484     22      582      0      0 2020-04-13 18:37:14 UTC+0000                                 
0x85063030 spoolsv.exe            1244    484     14      275      0      0 2020-04-13 18:37:16 UTC+0000                                 
0x83f15d28 taskhost.exe           1332    484     11      215      1      0 2020-04-13 18:37:17 UTC+0000                                 
0x8507db48 dwm.exe                1360    820      4       69      1      0 2020-04-13 18:37:17 UTC+0000                                 
0x85083d28 svchost.exe            1388    484     20      319      0      0 2020-04-13 18:37:17 UTC+0000                                 
0x85093c90 explorer.exe           1432   1320     28      756      1      0 2020-04-13 18:37:17 UTC+0000                                 
0x850e4908 svchost.exe            1556    484     13      328      0      0 2020-04-13 18:37:19 UTC+0000                                 
0x850e7470 svchost.exe            1584    484     13      224      0      0 2020-04-13 18:37:19 UTC+0000                                 
0x85140030 cygrunsrv.exe          1760    484      6      101      0      0 2020-04-13 18:37:22 UTC+0000                                 
0x83deb4f8 cygrunsrv.exe          1876   1760      0 --------      0      0 2020-04-13 18:37:24 UTC+0000   2020-04-13 18:37:27 UTC+0000  
0x8518ed28 conhost.exe            1904    340      2       32      0      0 2020-04-13 18:37:25 UTC+0000                                 
0x85199d28 sshd.exe               1928   1876      4      100      0      0 2020-04-13 18:37:25 UTC+0000                                 
0x851a7c98 VGAuthService.         1972    484      4       87      0      0 2020-04-13 18:37:26 UTC+0000                                 
0x851b1d28 vmtoolsd.exe           1980   1432      7      141      1      0 2020-04-13 18:37:26 UTC+0000                                 
0x851cd6c8 vmtoolsd.exe            264    484      9      309      0      0 2020-04-13 18:37:28 UTC+0000                                 
0x8521fd28 SearchIndexer.         1788    484     12      581      0      0 2020-04-13 18:37:32 UTC+0000                                 
0x85234880 sppsvc.exe             1884    484      4      164      0      0 2020-04-13 18:37:34 UTC+0000                                 
0x85252a60 WmiPrvSE.exe           2156    592     10      194      0      0 2020-04-13 18:37:37 UTC+0000                                 
0x8528f030 svchost.exe            2220    484      5      102      0      0 2020-04-13 18:37:37 UTC+0000                                 
0x85291680 dllhost.exe            2240    484     20      200      0      0 2020-04-13 18:37:37 UTC+0000                                 
0x852e8638 wmpnetwk.exe           2464    484     11      213      0      0 2020-04-13 18:37:38 UTC+0000                                 
0x8519e030 dllhost.exe            2548    484     18      202      0      0 2020-04-13 18:37:41 UTC+0000                                 
0x8535b030 SearchProtocol         3024   1788      7      269      1      0 2020-04-13 18:37:45 UTC+0000                                 
0x852a2030 SearchFilterHo         3068   1788      4       79      0      0 2020-04-13 18:37:45 UTC+0000                                 
0x85536548 WmiPrvSE.exe           3168    592     15      317      0      0 2020-04-13 18:37:55 UTC+0000                                 
0x855afbf0 msdtc.exe              3216    484     15      154      0      0 2020-04-13 18:37:57 UTC+0000                                 
0x83de43a8 update_v0.5.ex         3388   1432      2       61      1      0 2020-04-13 18:38:00 UTC+0000                                 
0x8548e5d0 conhost.exe            3428    380      2       33      1      0 2020-04-13 18:38:00 UTC+0000                                 
0x84f9a648 VSSVC.exe              3564    484      7      117      0      0 2020-04-13 18:38:02 UTC+0000                                 
0x85078be8 WmiApSrv.exe           3616    484      6      126      0      0 2020-04-13 18:38:03 UTC+0000                                 
0x855f6b10 DumpIt.exe             2208   1432      6       91      1      0 2020-04-13 18:39:30 UTC+0000                                 
0x851fc750 conhost.exe            2028    380      2       34      1      0 2020-04-13 18:39:30 UTC+0000                                 
0x855dd030 svchost.exe            2880    484     12      258      0      0 2020-04-13 18:39:32 UTC+0000                                 
